,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
26,2018,74.945,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
27,2019,75.087,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
28,2016,75.868,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
29,2017,76.01,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
30,2018,76.152,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
31,2019,76.293,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
32,2016,82.4487804878,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
33,2017,82.5,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
34,2018,82.7487804878,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
35,2019,82.9,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
36,2016,81.6414634146,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
37,2017,81.643902439,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
38,2018,81.6926829268,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
39,2019,81.7926829268,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
40,2016,72.493,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
41,2017,72.693,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
42,2018,72.864,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
43,2019,73.005,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
44,2016,73.329,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
45,2017,73.554,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
46,2018,73.752,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
47,2019,73.918,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
48,2016,76.899,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
49,2017,77.032,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
50,2018,77.163,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
51,2019,77.292,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
52,2016,71.785,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
53,2017,72.052,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
54,2018,72.32,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
55,2019,72.591,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
56,2016,78.888,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
57,2017,78.981,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
58,2018,79.081,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
59,2019,79.19,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
60,2016,73.8268292683,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
61,2017,74.1292682927,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
62,2018,74.1756097561,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
63,2019,74.2268292683,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
64,2016,81.4390243902,SP.DYN.LE00.IN,BEL,Belgium,Europe & Central Asia,High income,Not classified
65,2017,81.4926829268,SP.DYN.LE00.IN,BEL,Belgium,Europe & Central Asia,High income,Not classified
66,2018,81.5951219512,SP.DYN.LE00.IN,BEL,Belgium,Europe & Central Asia,High income,Not classified
67,2019,81.7463414634,SP.DYN.LE00.IN,BEL,Belgium,Europe & Central Asia,High income,Not classified
68,2016,74.219,SP.DYN.LE00.IN,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
69,2017,74.365,SP.DYN.LE00.IN,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
70,2018,74.496,SP.DYN.LE00.IN,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
71,2019,74.623,SP.DYN.LE00.IN,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
72,2016,60.885,SP.DYN.LE00.IN,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
73,2017,61.174,SP.DYN.LE00.IN,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
74,2018,61.47,SP.DYN.LE00.IN,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
75,2019,61.771,SP.DYN.LE00.IN,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
76,2016,81.2270731707,SP.DYN.LE00.IN,BMU,Bermuda,North America,High income,Not classified
77,2017,81.4419512195,SP.DYN.LE00.IN,BMU,Bermuda,North America,High income,Not classified
78,2018,81.6517073171,SP.DYN.LE00.IN,BMU,Bermuda,North America,High income,Not classified
79,2019,81.8665853659,SP.DYN.LE00.IN,BMU,Bermuda,North America,High income,Not classified
80,2016,70.781,SP.DYN.LE00.IN,BTN,Bhutan,South Asia,Lower middle income,IDA
81,2017,71.129,SP.DYN.LE00.IN,BTN,Bhutan,South Asia,Lower middle income,IDA
82,2018,71.46,SP.DYN.LE00.IN,BTN,Bhutan,South Asia,Lower middle income,IDA
83,2019,71.777,SP.DYN.LE00.IN,BTN,Bhutan,South Asia,Lower middle income,IDA
84,2016,70.626,SP.DYN.LE00.IN,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
85,2017,70.945,SP.DYN.LE00.IN,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
86,2018,71.239,SP.DYN.LE00.IN,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
87,2019,71.513,SP.DYN.LE00.IN,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
88,2016,76.998,SP.DYN.LE00.IN,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
89,2017,77.128,SP.DYN.LE00.IN,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
90,2018,77.262,SP.DYN.LE00.IN,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
91,2019,77.401,SP.DYN.LE00.IN,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
92,2016,68.178,SP.DYN.LE00.IN,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
93,2017,68.812,SP.DYN.LE00.IN,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
94,2018,69.275,SP.DYN.LE00.IN,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
95,2019,69.592,SP.DYN.LE00.IN,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
96,2016,75.23,SP.DYN.LE00.IN,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
97,2017,75.456,SP.DYN.LE00.IN,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
98,2018,75.672,SP.DYN.LE00.IN,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
99,2019,75.881,SP.DYN.LE00.IN,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
100,2016,75.45,SP.DYN.LE00.IN,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
101,2017,75.585,SP.DYN.LE00.IN,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
102,2018,75.722,SP.DYN.LE00.IN,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
103,2019,75.86,SP.DYN.LE00.IN,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
104,2016,74.812195122,SP.DYN.LE00.IN,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
105,2017,74.8146341463,SP.DYN.LE00.IN,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
106,2018,74.9634146341,SP.DYN.LE00.IN,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
107,2019,74.9146341463,SP.DYN.LE00.IN,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
108,2016,60.354,SP.DYN.LE00.IN,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
109,2017,60.768,SP.DYN.LE00.IN,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
110,2018,61.174,SP.DYN.LE00.IN,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
111,2019,61.577,SP.DYN.LE00.IN,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
112,2016,60.528,SP.DYN.LE00.IN,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
113,2017,60.898,SP.DYN.LE00.IN,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
114,2018,61.247,SP.DYN.LE00.IN,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
115,2019,61.584,SP.DYN.LE00.IN,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
116,2016,72.347,SP.DYN.LE00.IN,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
117,2017,72.57,SP.DYN.LE00.IN,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
118,2018,72.782,SP.DYN.LE00.IN,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
119,2019,72.981,SP.DYN.LE00.IN,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
120,2016,68.977,SP.DYN.LE00.IN,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
121,2017,69.289,SP.DYN.LE00.IN,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
122,2018,69.57,SP.DYN.LE00.IN,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
123,2019,69.823,SP.DYN.LE00.IN,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
124,2016,58.063,SP.DYN.LE00.IN,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
125,2017,58.511,SP.DYN.LE00.IN,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
126,2018,58.921,SP.DYN.LE00.IN,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
127,2019,59.292,SP.DYN.LE00.IN,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
128,2016,81.9,SP.DYN.LE00.IN,CAN,Canada,North America,High income,Not classified
129,2017,81.9,SP.DYN.LE00.IN,CAN,Canada,North America,High income,Not classified
130,2018,82.0487804878,SP.DYN.LE00.IN,CAN,Canada,North America,High income,Not classified
131,2019,82.0487804878,SP.DYN.LE00.IN,CAN,Canada,North America,High income,Not classified
132,2016,51.593,SP.DYN.LE00.IN,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
133,2017,52.24,SP.DYN.LE00.IN,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
134,2018,52.805,SP.DYN.LE00.IN,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
135,2019,53.283,SP.DYN.LE00.IN,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
136,2016,53.438,SP.DYN.LE00.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
137,2017,53.712,SP.DYN.LE00.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
138,2018,53.977,SP.DYN.LE00.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
139,2019,54.239,SP.DYN.LE00.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
140,2016,82.6,SP.DYN.LE00.IN,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
141,2017,82.766,SP.DYN.LE00.IN,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
142,2018,82.928,SP.DYN.LE00.IN,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
143,2019,83.086,SP.DYN.LE00.IN,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
144,2016,79.779,SP.DYN.LE00.IN,CHL,Chile,Latin America & Caribbean ,High income,IBRD
145,2017,79.909,SP.DYN.LE00.IN,CHL,Chile,Latin America & Caribbean ,High income,IBRD
146,2018,80.042,SP.DYN.LE00.IN,CHL,Chile,Latin America & Caribbean ,High income,IBRD
147,2019,80.181,SP.DYN.LE00.IN,CHL,Chile,Latin America & Caribbean ,High income,IBRD
148,2016,76.21,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
149,2017,76.47,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
150,2018,76.704,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
151,2019,76.912,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
152,2016,76.732,SP.DYN.LE00.IN,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
153,2017,76.925,SP.DYN.LE00.IN,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
154,2018,77.109,SP.DYN.LE00.IN,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
155,2019,77.287,SP.DYN.LE00.IN,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
156,2016,63.7,SP.DYN.LE00.IN,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
157,2017,63.912,SP.DYN.LE00.IN,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
158,2018,64.118,SP.DYN.LE00.IN,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
159,2019,64.321,SP.DYN.LE00.IN,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
160,2016,59.655,SP.DYN.LE00.IN,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
161,2017,60.026,SP.DYN.LE00.IN,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
162,2018,60.368,SP.DYN.LE00.IN,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
163,2019,60.681,SP.DYN.LE00.IN,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
164,2016,63.556,SP.DYN.LE00.IN,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
165,2017,63.954,SP.DYN.LE00.IN,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
166,2018,64.29,SP.DYN.LE00.IN,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
167,2019,64.57,SP.DYN.LE00.IN,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
168,2016,79.738,SP.DYN.LE00.IN,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
169,2017,79.914,SP.DYN.LE00.IN,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
170,2018,80.095,SP.DYN.LE00.IN,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
171,2019,80.279,SP.DYN.LE00.IN,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
172,2016,56.567,SP.DYN.LE00.IN,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
173,2017,57.017,SP.DYN.LE00.IN,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
174,2018,57.422,SP.DYN.LE00.IN,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
175,2019,57.783,SP.DYN.LE00.IN,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
176,2016,78.0219512195,SP.DYN.LE00.IN,HRV,Croatia,Europe & Central Asia,High income,IBRD
177,2017,77.8268292683,SP.DYN.LE00.IN,HRV,Croatia,Europe & Central Asia,High income,IBRD
178,2018,78.0707317073,SP.DYN.LE00.IN,HRV,Croatia,Europe & Central Asia,High income,IBRD
179,2019,78.4243902439,SP.DYN.LE00.IN,HRV,Croatia,Europe & Central Asia,High income,IBRD
180,2016,78.607,SP.DYN.LE00.IN,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
181,2017,78.662,SP.DYN.LE00.IN,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
182,2018,78.726,SP.DYN.LE00.IN,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
183,2019,78.802,SP.DYN.LE00.IN,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
184,2016,77.7195121951,SP.DYN.LE00.IN,CUW,Curacao,Latin America & Caribbean ,High income,Not classified
185,2017,78.0170731707,SP.DYN.LE00.IN,CUW,Curacao,Latin America & Caribbean ,High income,Not classified
186,2016,80.513,SP.DYN.LE00.IN,CYP,Cyprus,Europe & Central Asia,High income,Not classified
187,2017,80.672,SP.DYN.LE00.IN,CYP,Cyprus,Europe & Central Asia,High income,Not classified
188,2018,80.828,SP.DYN.LE00.IN,CYP,Cyprus,Europe & Central Asia,High income,Not classified
189,2019,80.982,SP.DYN.LE00.IN,CYP,Cyprus,Europe & Central Asia,High income,Not classified
190,2016,79.0268292683,SP.DYN.LE00.IN,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
191,2017,78.9780487805,SP.DYN.LE00.IN,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
192,2018,79.0292682927,SP.DYN.LE00.IN,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
193,2019,79.1292682927,SP.DYN.LE00.IN,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
194,2016,80.8536585366,SP.DYN.LE00.IN,DNK,Denmark,Europe & Central Asia,High income,Not classified
195,2017,81.1024390244,SP.DYN.LE00.IN,DNK,Denmark,Europe & Central Asia,High income,Not classified
196,2018,80.9536585366,SP.DYN.LE00.IN,DNK,Denmark,Europe & Central Asia,High income,Not classified
197,2019,81.2024390244,SP.DYN.LE00.IN,DNK,Denmark,Europe & Central Asia,High income,Not classified
198,2016,65.064,SP.DYN.LE00.IN,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
199,2017,65.893,SP.DYN.LE00.IN,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
200,2018,66.582,SP.DYN.LE00.IN,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
201,2019,67.112,SP.DYN.LE00.IN,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
202,2016,73.471,SP.DYN.LE00.IN,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
203,2017,73.689,SP.DYN.LE00.IN,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
204,2018,73.892,SP.DYN.LE00.IN,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
205,2019,74.081,SP.DYN.LE00.IN,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
206,2016,76.365,SP.DYN.LE00.IN,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
207,2017,76.584,SP.DYN.LE00.IN,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
208,2018,76.8,SP.DYN.LE00.IN,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
209,2019,77.01,SP.DYN.LE00.IN,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
210,2016,71.482,SP.DYN.LE00.IN,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
211,2017,71.656,SP.DYN.LE00.IN,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
212,2018,71.825,SP.DYN.LE00.IN,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
213,2019,71.99,SP.DYN.LE00.IN,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
214,2016,72.644,SP.DYN.LE00.IN,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
215,2017,72.872,SP.DYN.LE00.IN,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
216,2018,73.096,SP.DYN.LE00.IN,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
217,2019,73.317,SP.DYN.LE00.IN,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
218,2016,57.713,SP.DYN.LE00.IN,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
219,2017,58.061,SP.DYN.LE00.IN,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
220,2018,58.402,SP.DYN.LE00.IN,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
221,2019,58.735,SP.DYN.LE00.IN,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
222,2016,65.111,SP.DYN.LE00.IN,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA
223,2017,65.538,SP.DYN.LE00.IN,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA
224,2018,65.941,SP.DYN.LE00.IN,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA
225,2019,66.321,SP.DYN.LE00.IN,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA
226,2016,77.6414634146,SP.DYN.LE00.IN,EST,Estonia,Europe & Central Asia,High income,Not classified
227,2017,78.0926829268,SP.DYN.LE00.IN,EST,Estonia,Europe & Central Asia,High income,Not classified
228,2018,78.243902439,SP.DYN.LE00.IN,EST,Estonia,Europe & Central Asia,High income,Not classified
229,2019,78.4975609756,SP.DYN.LE00.IN,EST,Estonia,Europe & Central Asia,High income,Not classified
230,2016,56.962,SP.DYN.LE00.IN,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
231,2017,58.319,SP.DYN.LE00.IN,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
232,2018,59.401,SP.DYN.LE00.IN,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
233,2019,60.194,SP.DYN.LE00.IN,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
234,2016,65.482,SP.DYN.LE00.IN,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
235,2017,65.872,SP.DYN.LE00.IN,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
236,2018,66.24,SP.DYN.LE00.IN,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
237,2019,66.597,SP.DYN.LE00.IN,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
238,2016,82.043902439,SP.DYN.LE00.IN,FRO,Faroe Islands,Europe & Central Asia,High income,Not classified
239,2017,82.2951219512,SP.DYN.LE00.IN,FRO,Faroe Islands,Europe & Central Asia,High income,Not classified
240,2018,82.4951219512,SP.DYN.LE00.IN,FRO,Faroe Islands,Europe & Central Asia,High income,Not classified
241,2019,82.7463414634,SP.DYN.LE00.IN,FRO,Faroe Islands,Europe & Central Asia,High income,Not classified
242,2016,67.175,SP.DYN.LE00.IN,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
243,2017,67.252,SP.DYN.LE00.IN,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
244,2018,67.341,SP.DYN.LE00.IN,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
245,2019,67.444,SP.DYN.LE00.IN,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
246,2016,81.4292682927,SP.DYN.LE00.IN,FIN,Finland,Europe & Central Asia,High income,Not classified
247,2017,81.6317073171,SP.DYN.LE00.IN,FIN,Finland,Europe & Central Asia,High income,Not classified
248,2018,81.7341463415,SP.DYN.LE00.IN,FIN,Finland,Europe & Central Asia,High income,Not classified
249,2019,81.7853658537,SP.DYN.LE00.IN,FIN,Finland,Europe & Central Asia,High income,Not classified
250,2016,82.5731707317,SP.DYN.LE00.IN,FRA,France,Europe & Central Asia,High income,Not classified
251,2017,82.5756097561,SP.DYN.LE00.IN,FRA,France,Europe & Central Asia,High income,Not classified
252,2018,82.7243902439,SP.DYN.LE00.IN,FRA,France,Europe & Central Asia,High income,Not classified
253,2019,82.5780487805,SP.DYN.LE00.IN,FRA,France,Europe & Central Asia,High income,Not classified
